Year,Month,Day,Hour,Minute,PM10
2020,1,16,13,45,41.8
2020,1,16,13,50,45
2020,1,16,13,55,45
,1,16,14,0,45
2020,1,16,14,5,45
2020,1,16,14,10,45
2020,1,16,14,15,45
2020,1,16,14,20,45
2020,1,16,14,25,45
2020,1,16,14,30,45
2020,1,16,14,35,45
2020,1,16,14,40,45
2020,1,16,14,45,34
2020,1,16,14,50,32
2020,1,16,14,55,32
2020,1,16,15,0,32
2020,1,16,15,5,32
2020,1,16,15,10,32
2020,1,16,15,15,32
2020,1,16,15,20,32
2020,1,16,15,25,32
2020,1,16,15,30,32
2020,1,16,15,35,32
2020,1,16,15,40,32
2020,1,16,15,45,32
2020,1,16,15,50,32
2020,1,16,15,55,32
2020,1,16,16,0,32
2020,1,16,16,5,32
2020,1,16,16,10,32
2020,1,16,16,15,32
2020,1,16,16,20,32
2020,1,16,16,25,32
2020,1,16,16,30,32
2020,1,16,16,35,32
2020,1,16,16,40,32
2020,1,16,16,45,36.3
2020,1,16,16,50,37
2020,1,16,16,55,37
2020,1,16,17,0,37
2020,1,16,17,5,37
2020,1,16,17,10,37
2020,1,16,17,15,37
2020,1,16,17,20,37
2020,1,16,17,25,37
2020,1,16,17,30,37
2020,1,16,17,35,37
2020,1,16,17,40,37
2020,1,16,17,45,51.5
2020,1,16,17,50,54
2020,1,16,17,55,54
2020,1,16,18,0,54
2020,1,16,18,5,54
2020,1,16,18,10,54
2020,1,16,18,15,54
2020,1,16,18,20,54
2020,1,16,18,25,54
2020,1,16,18,30,54
2020,1,16,18,35,54
2020,1,16,18,40,54
2020,1,16,18,45,69.3
2020,1,16,18,50,72
2020,1,16,18,55,72
2020,1,16,19,0,72
2020,1,16,19,5,72
2020,1,16,19,10,72
2020,1,16,19,15,72
2020,1,16,19,20,72
2020,1,16,19,25,72
2020,1,16,19,30,72
2020,1,16,19,35,72
2020,1,16,19,40,72
2020,1,16,19,45,59.3
2020,1,16,19,50,57
2020,1,16,19,55,57
2020,1,16,20,0,57
2020,1,16,20,5,57
2020,1,16,20,10,57
2020,1,16,20,15,57
2020,1,16,20,20,57
2020,1,16,20,25,57
2020,1,16,20,30,57
2020,1,16,20,35,57
2020,1,16,20,40,57
2020,1,16,20,45,43.4
2020,1,16,20,50,41
2020,1,16,20,55,41
2020,1,16,21,0,41
2020,1,16,21,5,41
2020,1,16,21,10,41
2020,1,16,21,15,41
2020,1,16,21,20,41
2020,1,16,21,25,41
2020,1,16,21,30,41
2020,1,16,21,35,41
2020,1,16,21,40,41
2020,1,16,21,45,35
2020,1,16,21,50,34
2020,1,16,21,55,34
2020,1,16,22,0,34
2020,1,16,22,5,34
2020,1,16,22,10,34
2020,1,16,22,15,34
2020,1,16,22,20,34
2020,1,16,22,25,34
2020,1,16,22,30,34
2020,1,16,22,35,34
2020,1,16,22,40,34
2020,1,16,22,45,28
2020,1,16,22,50,27
2020,1,16,22,55,27
2020,1,16,23,0,27
2020,1,16,23,5,27
2020,1,16,23,10,27
2020,1,16,23,15,27
2020,1,16,23,20,27
2020,1,16,23,25,27
2020,1,16,23,30,27
2020,1,16,23,35,27
2020,1,16,23,40,27
2020,1,16,23,45,37.2
2020,1,16,23,50,39
2020,1,16,23,55,39
,,43847,,,39
2020,1,17,0,5,39
2020,1,17,0,10,39
2020,1,17,0,15,39
2020,1,17,0,20,39
2020,1,17,0,25,39
2020,1,17,0,30,39
2020,1,17,0,35,39
2020,1,17,0,40,39
2020,1,17,0,45,29.6
2020,1,17,0,50,28
2020,1,17,0,55,28
2020,1,17,1,0,28
2020,1,17,1,5,28
2020,1,17,1,10,28
2020,1,17,1,15,28
2020,1,17,1,20,28
2020,1,17,1,25,28
2020,1,17,1,30,28
2020,1,17,1,35,28
2020,1,17,1,40,28
2020,1,17,1,45,45.8
2020,1,17,1,50,49
2020,1,17,1,55,49
2020,1,17,2,0,49
2020,1,17,2,5,49
2020,1,17,2,10,49
2020,1,17,2,15,49
2020,1,17,2,20,49
2020,1,17,2,25,49
2020,1,17,2,30,49
2020,1,17,2,35,49
2020,1,17,2,40,49
2020,1,17,2,45,30.3
2020,1,17,2,50,27
2020,1,17,2,55,27
2020,1,17,3,0,27
2020,1,17,3,5,27
2020,1,17,3,10,27
2020,1,17,3,15,27
2020,1,17,3,20,27
2020,1,17,3,25,27
2020,1,17,3,30,27
2020,1,17,3,35,27
2020,1,17,3,40,27
2020,1,17,3,45,37.2
2020,1,17,3,50,39
2020,1,17,3,55,39
2020,1,17,4,0,39
2020,1,17,4,5,39
2020,1,17,4,10,39
2020,1,17,4,15,39
2020,1,17,4,20,39
2020,1,17,4,25,39
2020,1,17,4,30,39
2020,1,17,4,35,39
2020,1,17,4,40,39
2020,1,17,4,45,46.7
2020,1,17,4,50,48
2020,1,17,4,55,48
2020,1,17,5,0,48
2020,1,17,5,5,48
2020,1,17,5,10,48
2020,1,17,5,15,48
2020,1,17,5,20,48
2020,1,17,5,25,48
2020,1,17,5,30,48
2020,1,17,5,35,48
2020,1,17,5,40,48
2020,1,17,5,45,37.8
2020,1,17,5,50,36
2020,1,17,5,55,36
2020,1,17,6,0,36
2020,1,17,6,5,36
2020,1,17,6,10,36
2020,1,17,6,15,36
2020,1,17,6,20,36
2020,1,17,6,25,36
2020,1,17,6,30,36
2020,1,17,6,35,36
2020,1,17,6,40,36
2020,1,17,6,45,31.8
2020,1,17,6,50,31
2020,1,17,6,55,31
2020,1,17,7,0,31
2020,1,17,7,5,31
2020,1,17,7,10,31
2020,1,17,7,15,31
2020,1,17,7,20,31
2020,1,17,7,25,31
2020,1,17,7,30,31
2020,1,17,7,35,31
2020,1,17,7,40,31
2020,1,17,7,45,24.2
2020,1,17,7,50,23
2020,1,17,7,55,23
2020,1,17,8,0,23
2020,1,17,8,5,23
2020,1,17,8,10,23
2020,1,17,8,15,23
2020,1,17,8,20,23
2020,1,17,8,25,23
2020,1,17,8,30,23
2020,1,17,8,35,23
2020,1,17,8,40,23
2020,1,17,8,45,46
2020,1,17,8,50,50
2020,1,17,8,55,50
2020,1,17,9,0,50
2020,1,17,9,5,50
2020,1,17,9,10,50
