year,month,day,hour,minute,second,Latitude [DD], Longitude [DD],Altitude [m]
2020,1,16,17,6,11,32.111092,34.808002,13.5
2020,1,16,17,6,27,32.110942,34.80814,14.7
2020,1,16,17,6,42,32.111338,34.80842,15.2
2020,1,16,17,6,57,32.111637,34.808275,15.9
2020,1,16,17,7,28,32.112414,34.8088,17.7
2020,1,16,17,7,43,32.11277,34.808823,17.8
2020,1,16,17,8,29,32.112833,34.808889,21.7
2020,1,16,17,11,2,32.112757,34.808656,28.3
2020,1,16,17,11,17,32.112746,34.808581,28.4
2020,1,16,17,11,33,32.112693,34.808723,31.9
2020,1,16,17,12,3,32.11277,34.808662,31
2020,1,16,17,12,19,32.112587,34.808893,33
2020,1,16,17,12,34,32.112552,34.808969,33.7
2020,1,16,17,16,8,32.112761,34.808839,33.4
2020,1,16,17,16,39,32.113014,34.808809,33.8
2020,1,16,17,16,54,32.112647,34.808608,33.5
2020,1,16,17,17,10,32.111935,34.808935,32.9
2020,1,16,17,17,55,32.112508,34.807698,33.6
2020,1,16,17,18,11,32.112884,34.807791,32.1
2020,1,16,17,18,26,32.11255,34.80874,31.9
2020,1,16,17,23,32,32.112826,34.80855,30.5
2020,1,16,17,23,48,32.112462,34.808699,32.5
2020,1,16,17,24,3,32.112851,34.808702,32.8
2020,1,16,17,24,18,32.112182,34.809111,33.6
2020,1,16,17,24,34,32.111657,34.808404,30.9
2020,1,16,17,24,49,32.111358,34.808214,30.8
2020,1,16,17,26,36,32.111236,34.808558,30.3
2020,1,16,17,28,8,32.111022,34.808721,30.4
2020,1,16,17,29,55,32.111471,34.80846,30.3
2020,1,16,17,30,10,32.111243,34.808397,32.3
2020,1,16,17,30,41,32.111185,34.808293,31.7
2020,1,16,17,31,27,32.111555,34.80821,31.9
2020,1,16,17,31,58,32.111311,34.808033,33.5
2020,1,16,17,32,13,32.111189,34.808546,32.9
2020,1,16,17,32,28,32.111019,34.808598,33.2
2020,1,16,17,32,59,32.11137,34.808293,33.5
2020,1,16,17,33,14,32.111197,34.808559,33
2020,1,16,17,34,0,32.111147,34.808042,34.6
2020,1,16,17,34,15,32.110973,34.808381,34.4
2020,1,16,17,34,31,32.111223,34.808312,34.6
2020,1,16,17,34,46,32.111432,34.808142,32.7
2020,1,16,17,35,47,32.111422,34.808101,32.7
2020,1,16,17,36,18,32.111242,34.80869,31.5
2020,1,16,17,38,20,32.111121,34.808358,31.2
2020,1,16,17,38,51,32.111026,34.808274,33.9
2020,1,16,17,39,6,32.110985,34.808211,34
2020,1,16,17,39,22,32.111548,34.808414,33.8
2020,1,16,17,39,37,32.111233,34.808505,34.2
2020,1,16,17,40,38,32.111273,34.80822,34.8
2020,1,16,17,40,53,32.111386,34.808414,34.6
2020,1,16,17,41,9,32.111337,34.808053,36.6
2020,1,16,17,41,24,32.111439,34.808156,36.7
2020,1,16,17,41,39,32.110915,34.80853,37
2020,1,16,17,41,55,32.111531,34.808259,37.8
2020,1,16,17,42,10,32.1108,34.807916,38
2020,1,16,17,43,27,32.111345,34.808338,37.7
2020,1,16,17,43,42,32.111327,34.808434,35.7
2020,1,16,17,43,57,32.110313,34.807932,42.9
2020,1,16,17,44,13,32.11129,34.808384,43.9
2020,1,16,17,44,28,32.111384,34.808054,43.3
2020,1,16,17,44,43,32.111349,34.807793,42
2020,1,16,17,44,58,32.111516,34.808232,41.3
2020,1,16,17,45,14,32.111048,34.808211,43.4
2020,1,16,17,45,29,32.111492,34.807983,42.7
2020,1,16,17,45,44,32.111186,34.808093,43
2020,1,16,17,46,0,32.111523,34.808712,42.4
2020,1,16,17,46,30,32.11113,34.808435,42.4
2020,1,16,17,46,46,32.11136,34.808301,43
2020,1,16,17,47,1,32.111294,34.808529,42
2020,1,16,17,47,32,32.11145,34.808062,41.7
2020,1,16,17,47,47,32.111217,34.808264,40.2
2020,1,16,17,49,3,32.111095,34.808173,40.1
2020,1,16,17,49,19,32.111296,34.80858,40.7
2020,1,16,17,49,34,32.111417,34.808292,39.9
2020,1,16,17,50,5,32.111802,34.808314,38.2
2020,1,16,17,50,20,32.111281,34.808367,39
2020,1,16,17,50,51,32.111332,34.808589,37.7
2020,1,16,17,51,6,32.111419,34.808409,37.5
2020,1,16,17,51,21,32.111361,34.808323,37.2
2020,1,16,17,51,37,32.11096,34.808379,38.3
2020,1,16,17,53,24,32.111269,34.808335,38.1
2020,1,16,17,54,10,32.111151,34.808185,37.4
2020,1,16,17,54,25,32.111196,34.808426,37.2
2020,1,16,17,54,56,32.111326,34.808387,40
2020,1,16,17,55,11,32.111362,34.808096,38.9
2020,1,16,17,56,58,32.111039,34.808216,39.1
2020,1,16,17,57,13,32.111388,34.808248,39.2
2020,1,16,17,57,59,32.111191,34.808365,39.9
2020,1,16,17,58,15,32.111258,34.808284,39.1
2020,1,16,17,58,45,32.111654,34.80805,40
2020,1,16,17,59,1,32.111157,34.807901,40.2
2020,1,16,17,59,16,32.111219,34.808121,39.8
2020,1,16,17,59,31,32.11144,34.808145,38.3
2020,1,16,17,59,47,32.111439,34.808221,39.1
2020,1,16,18,0,2,32.111367,34.808134,39.3
2020,1,16,18,1,19,32.111414,34.808307,38.9
2020,1,16,18,1,34,32.111238,34.808072,37.8
2020,1,16,18,1,49,32.111133,34.808093,37.2
2020,1,16,18,2,4,32.11124,34.808142,37.7
2020,1,16,18,2,20,32.111231,34.808315,38.1
2020,1,16,18,2,35,32.111297,34.808192,41.3
2020,1,16,18,3,52,32.111217,34.80836,42.3
2020,1,16,18,4,38,32.111336,34.808236,42.8
2020,1,16,18,4,53,32.111387,34.808368,44.2
2020,1,16,18,5,8,32.111051,34.808877,44.7
2020,1,16,18,5,24,32.111109,34.808096,42.9
2020,1,16,18,5,39,32.111061,34.808259,41.8
2020,1,16,18,6,10,32.11102,34.808058,40.9
2020,1,16,18,6,40,32.111268,34.808253,39.9
2020,1,16,18,7,57,32.111318,34.808187,40.4
2020,1,16,18,8,12,32.111389,34.808245,42.2
2020,1,16,18,8,27,32.111553,34.808087,43.1
2020,1,16,18,8,43,32.111253,34.808122,44.4
2020,1,16,18,8,58,32.111355,34.808539,44.7
2020,1,16,18,9,13,32.111436,34.808241,46.3
2020,1,16,18,9,29,32.111364,34.80805,45.3
2020,1,16,18,9,59,32.111134,34.808103,45.5
2020,1,16,18,10,30,32.111219,34.808243,44.9
2020,1,16,18,10,45,32.111273,34.80815,44.3
2020,1,16,18,11,1,32.110952,34.808787,43.6
2020,1,16,18,11,16,32.111419,34.807979,42.7
2020,1,16,18,12,2,32.110931,34.808148,43.9
2020,1,16,18,12,32,32.111058,34.808058,43.3
2020,1,16,18,12,48,32.111374,34.808208,44.7
2020,1,16,18,13,3,32.111219,34.808071,45.6
2020,1,16,18,13,34,32.111323,34.808255,45.6
2020,1,16,18,13,49,32.111366,34.808103,47.7
2020,1,16,18,14,20,32.111123,34.808257,49.6
2020,1,16,18,14,35,32.111465,34.808074,47.8
2020,1,16,18,14,50,32.111335,34.808174,47.4
2020,1,16,18,15,6,32.111184,34.808296,47.3
2020,1,16,18,15,36,32.111331,34.808433,46.6
2020,1,16,18,16,38,32.111343,34.808241,47.9
2020,1,16,18,16,53,32.111102,34.808278,46.6
2020,1,16,18,17,23,32.111354,34.808081,48.2
2020,1,16,18,18,25,32.111041,34.808858,48.2
2020,1,16,18,19,11,32.111397,34.80824,49.9
2020,1,16,18,19,26,32.111307,34.808253,48.9
2020,1,16,18,19,41,32.111173,34.808232,47.9
2020,1,16,18,19,57,32.111007,34.808344,47.5
2020,1,16,18,20,12,32.111289,34.808313,48.8
2020,1,16,18,20,58,32.111435,34.808492,48.5
2020,1,16,18,21,13,32.111226,34.808262,49.2
2020,1,16,18,21,28,32.111439,34.808329,50.2
2020,1,16,18,21,59,32.111276,34.808258,50.6
2020,1,16,18,22,14,32.111216,34.808276,50.1
2020,1,16,18,22,30,32.111267,34.808258,49.8
2020,1,16,18,23,0,32.111231,34.807925,49
2020,1,16,18,23,16,32.11126,34.808042,53.5
2020,1,16,18,23,31,32.111449,34.808273,52.8
2020,1,16,18,23,46,32.111458,34.808393,52
2020,1,16,18,24,2,32.111517,34.80825,51.9
2020,1,16,18,24,17,32.111297,34.807988,52
2020,1,16,18,24,32,32.111093,34.808338,52.6
2020,1,16,18,24,48,32.111101,34.808226,52.5
2020,1,16,18,25,3,32.11081,34.80828,55.6
2020,1,16,18,25,49,32.111365,34.80829,56.3
2020,1,16,18,26,20,32.111161,34.80827,57
2020,1,16,18,26,35,32.111265,34.808309,56.2
2020,1,16,18,26,50,32.111309,34.808116,56.7
2020,1,16,18,27,5,32.111699,34.807596,59.3
2020,1,16,18,27,21,32.111186,34.807926,58.7
2020,1,16,18,28,7,32.111502,34.808107,61.7
2020,1,16,18,28,53,32.111467,34.808276,57.6
2020,1,16,18,29,8,32.110963,34.808081,57.8
2020,1,16,18,29,23,32.111268,34.808313,57.1
2020,1,16,18,29,39,32.111057,34.808276,58.9
2020,1,16,18,35,31,32.111201,34.808291,57.2
2020,1,16,18,36,2,32.111357,34.808179,56.4
2020,1,16,18,36,17,32.111562,34.808019,56
2020,1,16,18,36,32,32.111042,34.80798,56
2020,1,16,18,37,34,32.111333,34.808001,55.4
2020,1,16,18,38,20,32.111343,34.808082,55.6
2020,1,16,18,38,50,32.111174,34.808338,55.3
2020,1,16,18,39,21,32.11122,34.808357,55.4
2020,1,16,18,39,36,32.111184,34.808405,57.6
2020,1,16,18,39,52,32.11143,34.808217,58.1
2020,1,16,18,40,22,32.111128,34.808223,59
2020,1,16,18,40,38,32.111378,34.808439,58.2
2020,1,16,18,40,53,32.111355,34.808499,56
2020,1,16,18,42,9,32.111295,34.808261,57.7
2020,1,16,18,43,11,32.111255,34.808373,56.2
2020,1,16,18,43,57,32.111178,34.808218,56.6
2020,1,16,18,44,12,32.111578,34.808403,55.9
2020,1,16,18,44,43,32.111272,34.80794,54.7
2020,1,16,18,44,58,32.111113,34.808005,58
2020,1,16,18,45,59,32.111126,34.807961,56.1
2020,1,16,18,47,16,32.112074,34.808491,53.6
2020,1,16,18,47,31,32.111283,34.808349,51.3
2020,1,16,18,47,46,32.111124,34.808088,52.4
2020,1,16,18,48,2,32.111321,34.807975,53.1
2020,1,16,18,48,17,32.111172,34.808302,53.1
2020,1,16,18,48,32,32.111503,34.808316,51.9
2020,1,16,18,48,48,32.111068,34.808051,52.4
2020,1,16,18,49,18,32.111314,34.808367,53.5
2020,1,16,18,49,34,32.111226,34.808268,52.5
2020,1,16,18,50,4,32.110945,34.808268,54.3
2020,1,16,18,50,35,32.111118,34.808332,54
2020,1,16,18,50,50,32.111052,34.808123,57.2
2020,1,16,18,51,6,32.111156,34.808258,59.2
2020,1,16,18,51,36,32.1112,34.808102,59.1
2020,1,16,18,51,52,32.111151,34.808194,58.9
2020,1,16,18,53,24,32.111027,34.808201,58.7
2020,1,16,18,55,26,32.11193,34.808542,58.6
2020,1,16,18,55,57,32.11104,34.808266,56.8
2020,1,16,18,58,15,32.111029,34.808388,56.6
2020,1,16,18,58,45,32.111038,34.808473,54.9
2020,1,16,18,59,1,32.111112,34.808304,55.9
2020,1,16,18,59,16,32.111417,34.808319,58.8
2020,1,16,19,0,17,32.111206,34.808101,58.7
2020,1,16,19,0,33,32.111415,34.808319,59.9
2020,1,16,19,0,48,32.111209,34.80799,59.3
2020,1,16,19,1,19,32.11106,34.808095,59.7
2020,1,16,19,1,34,32.111386,34.808283,60.6
2020,1,16,19,2,5,32.111017,34.808233,58.9
2020,1,16,19,2,20,32.111213,34.808171,57.7
2020,1,16,19,3,37,32.112277,34.808711,55.5
2020,1,16,19,4,53,32.111366,34.808427,55.1
2020,1,16,19,5,39,32.111211,34.808183,55.8
2020,1,16,19,5,54,32.111323,34.80807,54.1
2020,1,16,19,6,56,32.111389,34.808293,55.6
2020,1,16,19,7,11,32.111326,34.808156,55
2020,1,16,19,7,26,32.111066,34.808301,54.5
2020,1,16,19,15,37,32.111719,34.808672,53.5
2020,1,16,19,16,7,32.111805,34.808654,51.9
2020,1,16,19,16,23,32.112519,34.808957,52.3
2020,1,16,19,16,53,32.112759,34.808734,53.2
2020,1,16,19,18,25,32.112819,34.808679,55.3
2020,1,16,19,18,56,32.11266,34.808608,57.3
2020,1,16,19,19,11,32.112587,34.808729,57.5
2020,1,16,19,19,27,32.112556,34.808699,56.5
2020,1,16,19,20,13,32.112964,34.808493,58.8
2020,1,16,19,20,59,32.112537,34.80859,58.4
2020,1,16,19,21,29,32.113188,34.808885,58.7
2020,1,16,19,22,15,32.113095,34.808561,58.2
2020,1,16,19,26,21,32.112801,34.80821,58.6
2020,1,16,19,26,36,32.113232,34.808932,57.1
2020,1,16,19,27,53,32.112817,34.808545,56.6
2020,1,16,19,28,23,32.112756,34.808725,55.5
2020,1,16,19,28,39,32.112687,34.808667,55.6
2020,1,16,19,29,9,32.112893,34.808518,54.5
2020,1,16,19,29,40,32.112487,34.808556,56.2
2020,1,16,19,30,26,32.112978,34.80865,56.3
2020,1,16,19,31,12,32.112663,34.808659,58.1
2020,1,16,19,31,58,32.112726,34.808797,57.7
2020,1,16,19,32,13,32.112862,34.808717,56.4
2020,1,16,19,32,28,32.112638,34.808791,56.2
2020,1,16,19,32,44,32.11292,34.808632,55.5
2020,1,16,19,32,59,32.112642,34.808382,54.4
2020,1,16,19,33,14,32.112659,34.808914,52.5
2020,1,16,19,33,30,32.111732,34.808786,52.1
2020,1,16,19,33,45,32.111752,34.807985,51.6
2020,1,16,19,34,0,32.112217,34.808077,53
2020,1,16,19,34,16,32.111926,34.808216,52.2
